Anomaly_Score,IF_Score,AE_Score,is_anomaly,is_high_return,is_whale_anomaly,is_suspicious,Recency,Frequency,Monetary,Return_Rate,Avg_Basket_Size,Max_Single_Order,Monetary_Percentile,Purchase_Rate,Unique_Products,Days_Since_Purchase,Interpurchase_Std,Revenue_Per_Day
1.000000011920929,1.0,1.0,True,False,False,False,262.0,19,1752.254799999996,0.0,1361.46111111111,3685.0121999999938,0.9992578849721707,0.10984848484848485,495,2.0,1.7492558533263685,23.279997387669802
0.9706225820554413,0.9347168225211385,1.0,True,False,False,False,280.0,19,1752.254799999996,0.0,1361.46111111111,3685.0121999999938,0.9955473098330241,0.06713780918727916,357,3.0,2.685380083651569,10.702996094476473
0.9704414342128356,0.9343142717597925,1.0,True,False,False,False,280.0,19,992.0537804878049,0.0,388.0267857142857,3685.0121999999938,0.9725417439703155,0.28975265017667845,1230,3.0,0.7509212234482393,3.5054903904162718
0.9694193138802899,0.9320428932430243,1.0,True,False,False,False,266.0,19,1669.2414814814817,0.0,1252.051282051282,3547.34,0.9884972170686457,0.09540636042402827,309,17.0,2.6354815344970444,5.8983797932207835
0.9655063784363023,0.9233474811452741,1.0,True,False,False,False,238.0,11,1752.254799999996,0.0,1361.46111111111,3685.0121999999938,1.0,0.044534412955465584,382,9.0,3.380087166313104,34.99319101950681
0.9534319590348355,0.8965154380309032,1.0,True,False,False,False,269.0,15,1752.254799999996,0.0,1165.6666666666667,3685.0121999999938,0.9996289424860854,0.05415162454873646,54,8.0,6.786220968333978,26.361102286401927
0.9518254676052347,0.8929454570762348,1.0,True,False,False,False,97.0,1,1752.254799999996,0.0,1361.46111111111,3685.0121999999938,1.0,0.004132231404958678,5,145.0,32.333333333333336,88.9913223140496
0.9297541676234113,0.8438981237832942,1.0,True,False,False,False,279.0,19,723.0487301587301,0.0,453.0,2764.29,0.9413729128014843,0.2226148409893993,470,4.0,0.9674078030213835,2.554942509394806
0.9196829395124843,0.8215176168701228,1.0,True,False,False,False,203.0,1,1752.254799999996,0.0,768.0,2606.4,0.9940630797773655,0.004032258064516129,2,45.0,142.8355697996826,10.509677419354839
0.9135429754248963,0.8078732522310383,1.0,True,False,False,False,282.0,19,187.82986301369863,0.0,67.78030303030303,822.79,0.574025974025974,0.2579505300353357,1165,1.0,1.0568916071476702,0.6637097632992884
0.9066472706352242,0.7925494638095452,1.0,True,False,False,False,1.0,1,1057.18,0.0,458.5,1057.18,0.9758812615955473,0.3333333333333333,83,2.0,0.10599978800063588,352.3933333333334
0.8993531985684226,0.7763404147722079,1.0,True,False,False,False,80.0,3,1397.493333333333,0.0,1361.46111111111,2221.84,0.9851576994434137,0.037037037037037035,13,1.0,8.17127578161205,17.253004115226336
0.8951881640491685,0.7670847825071989,1.0,True,False,False,False,282.0,19,298.9001333333333,0.0,152.9506172839506,733.05,0.7001855287569573,0.26501766784452296,1053,1.0,0.49369735194253966,1.0561842167255595
0.8944872772059904,0.7655272561890255,1.0,True,False,False,False,0.0,0,0.0,0.0,1361.46111111111,3107.08,0.20946196660482375,0.0,262,40.0,0.0,0.0
0.8875017791787093,0.7500039272395119,1.0,True,False,False,False,280.0,19,140.47954545454544,0.0,67.95774647887323,338.83,0.509090909090909,0.2332155477031802,718,3.0,0.7610428425467032,0.49639415354963057
0.8858234467025322,0.7462742995146738,1.0,True,False,False,False,223.0,1,1752.254799999996,0.0,184.16666666666666,1960.7999999999997,0.9981447124304267,0.0035587188612099642,18,58.0,54.08544438310225,15.673665480427047
0.8835639843881808,0.7412532721494485,1.0,True,False,False,False,211.0,9,1625.5644444444447,0.0,1352.888888888889,1920.48,0.9877551020408163,0.0410958904109589,8,8.0,13.570597301191686,7.422668696093354
